imdb_id,title_ieee,year_ieee,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres_ieee,genres_list,primary_genre,num_genres,release_date_parsed,id,title_tmdb,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,popularity,genres_tmdb,production_companies,production_countries,year_tmdb,countries_list,primary_country,num_countries,tmdb_genres_list,tmdb_primary_genre,primary_company
tt1877832,X-Men: Days of Future Past,2014,8.0,647269,821,132,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2014-05-23,127585,X-Men: Days of Future Past,7.5,14433,Released,2014-05-15,747862775,132,250000000,en,60.194,"Action, Adventure, Science Fiction","Bad Hat Harry Productions, The Donners' Company, Simon Kinberg Productions, 20th Century Fox",United States of America,2014.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Science Fiction']",Action,Bad Hat Harry Productions
tt0892769,How to Train Your Dragon,2010,8.1,647266,626,98,PG,Animation; Action; Adventure; ,"['Animation', 'Action', 'Adventure']",Animation,3,2010-03-26,10191,How to Train Your Dragon,7.813,12089,Released,2010-03-18,494879471,98,165000000,en,54.176,"Fantasy, Adventure, Animation, Family","DreamWorks Animation, Paramount",United States of America,2010.0,['United States of America'],United States of America,1,"['Fantasy', 'Adventure', 'Animation', 'Family']",Fantasy,DreamWorks Animation
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,641045,1889,151,PG-13,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2006-07-07,58,Pirates of the Caribbean: Dead Man's Chest,7.346,14868,Released,2006-07-06,1065659812,151,200000000,en,69.403,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,2006.0,['United States of America'],United States of America,1,"['Adventure', 'Fantasy', 'Action']",Adventure,Walt Disney Pictures
tt0317705,The Incredibles,2004,8.0,638952,946,115,PG,Animation; Action; Adventure; ,"['Animation', 'Action', 'Adventure']",Animation,3,2004-11-05,9806,The Incredibles,7.704,16584,Released,2004-10-27,631442092,115,92000000,en,62.609,"Action, Adventure, Animation, Family","Pixar, Walt Disney Pictures",United States of America,2004.0,['United States of America'],United States of America,1,"['Action', 'Adventure', 'Animation', 'Family']",Action,Pixar
tt3498820,Captain America: Civil War,2016,7.8,638731,1410,147,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2016-05-06,271110,Captain America: Civil War,7.4,21541,Released,2016-04-27,1155046416,147,250000000,en,70.741,"Adventure, Action, Science Fiction",Marvel Studios,United States of America,2016.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Marvel Studios
tt0090605,Aliens,1986,8.3,635164,1280,137,R,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,1986-07-18,679,Aliens,7.933,8758,Released,1986-07-18,183316455,137,18500000,en,49.209,"Action, Thriller, Science Fiction","Brandywine Productions, SLM Production Group, 20th Century Fox",United States of America,1986.0,['United States of America'],United States of America,1,"['Action', 'Thriller', 'Science Fiction']",Action,Brandywine Productions
tt1270798,X-Men: First Class,2011,7.7,634147,767,131,PG-13,Action; Adventure; Sci-Fi; ,"['Action', 'Adventure', 'Sci-Fi']",Action,3,2011-06-03,49538,X-Men: First Class,7.296,11986,Released,2011-06-01,353624124,132,160000000,en,1.659,"Action, Science Fiction, Adventure","The Donners' Company, Bad Hat Harry Productions, 20th Century Fox",United States of America,2011.0,['United States of America'],United States of America,1,"['Action', 'Science Fiction', 'Adventure']",Action,The Donners' Company
tt1136608,District 9,2009,7.9,627696,1375,112,R,Action; Sci-Fi; Thriller; ,"['Action', 'Sci-Fi', 'Thriller']",Action,3,2009-08-14,17654,District 9,7.423,8721,Released,2009-08-05,210819611,112,30000000,en,35.709,Science Fiction,"TriStar Pictures, Block / Hanson, WingNut Films, District 9","New Zealand, South Africa, United States of America",2009.0,"['New Zealand', 'South Africa', 'United States of America']",New Zealand,3,['Science Fiction'],Science Fiction,TriStar Pictures
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,6.5,621911,3652,142,PG,Action; Adventure; Fantasy; ,"['Action', 'Adventure', 'Fantasy']",Action,3,2002-05-16,1894,Star Wars: Episode II - Attack of the Clones,6.6,12288,Released,2002-05-15,649398328,142,120000000,en,42.55,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,2002.0,['United States of America'],United States of America,1,"['Adventure', 'Action', 'Science Fiction']",Adventure,Lucasfilm Ltd.
tt3315342,Logan,2017,8.1,621174,1559,137,R,Action; Drama; Sci-Fi; ,"['Action', 'Drama', 'Sci-Fi']",Action,3,2017-03-03,263115,Logan,7.8,18116,Released,2017-02-28,619021436,137,97000000,en,54.194,"Action, Drama, Science Fiction","Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox",United States of America,2017.0,['United States of America'],United States of America,1,"['Action', 'Drama', 'Science Fiction']",Action,Hutch Parker Entertainment
tt1074638,Skyfall,2012,7.7,617644,1587,143,PG-13,Action; Adventure; Thriller; ,"['Action', 'Adventure', 'Thriller']",Action,3,2012-11-09,37724,Skyfall,7.227,14466,Released,2012-10-24,1142471295,143,200000000,en,33.456,"Action, Adventure, Thriller","Metro-Goldwyn-Mayer, Eon Productions, Danjaq, Columbia Pictures","United Kingdom, United States of America",2012.0,"['United Kingdom', 'United States of America']",United Kingdom,2,"['Action', 'Adventure', 'Thriller']",Action,Metro-Goldwyn-Mayer
