imdb_id,title,year,imdb_rating,num_raters,num_reviews,runtime_min,mpaa,genres,genres_list,primary_genre,num_genres,release_date_parsed
tt0448011,Knowing,2009,6.2,216703,885,121,PG-13,Action; Drama; Mystery; ,"['Action', 'Drama', 'Mystery']",Action,3,2009-03-20
tt0486822,Disturbia,2007,6.8,215909,528,105,PG-13,Crime; Drama; Mystery; ,"['Crime', 'Drama', 'Mystery']",Crime,3,2007-04-13
tt0465234,National Treasure: Book of Secrets,2007,6.5,214171,319,124,PG,Action; Adventure; Mystery; ,"['Action', 'Adventure', 'Mystery']",Action,3,2007-12-21
tt1132620,The Girl with the Dragon Tattoo,2009,7.8,205262,316,152,R,Crime; Drama; Mystery; ,"['Crime', 'Drama', 'Mystery']",Crime,3,2010-04-30
tt0123755,Cube,1997,7.2,204760,819,90,R,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,1998-07-11
tt3402236,Murder on the Orient Express,2017,6.5,200486,877,114,PG-13,Crime; Drama; Mystery; ,"['Crime', 'Drama', 'Mystery']",Crime,3,2017-11-10
tt5362988,Wind River,2017,7.7,193037,609,107,R,Crime; Drama; Mystery; ,"['Crime', 'Drama', 'Mystery']",Crime,3,2017-08-18
tt0949731,The Happening,2008,5.0,192408,1379,91,R,Drama; Mystery; Sci-Fi; ,"['Drama', 'Mystery', 'Sci-Fi']",Drama,3,2008-06-13
tt0481369,The Number 23,2007,6.4,190439,414,98,R,Crime; Mystery; Thriller; ,"['Crime', 'Mystery', 'Thriller']",Crime,3,2007-02-23
tt1305806,The Secret in Their Eyes,2009,8.2,186147,291,129,R,Drama; Mystery; Romance; ,"['Drama', 'Mystery', 'Romance']",Drama,3,2010-05-21
tt0118929,Dark City,1998,7.6,184177,679,100,R,Mystery; Sci-Fi; Thriller; ,"['Mystery', 'Sci-Fi', 'Thriller']",Mystery,3,1998-02-27
tt1340800,Tinker Tailor Soldier Spy,2011,7.1,182571,604,122,R,Drama; Mystery; Thriller; ,"['Drama', 'Mystery', 'Thriller']",Drama,3,2012-01-06
tt1343092,The Great Gatsby,2013,7.2,462941,902,143,PG-13,Romance; ,['Romance'],Romance,1,2013-05-10
tt1659337,The Perks of Being a Wallflower,2012,8.0,448222,618,103,PG-13,Romance; ,['Romance'],Romance,1,2012-10-12
tt1355644,Passengers,2016,7.0,337271,1173,116,PG-13,Romance; ,['Romance'],Romance,1,2016-12-21
tt2582846,The Fault in Our Stars,2014,7.7,334274,679,126,PG-13,Romance; ,['Romance'],Romance,1,2014-06-06
tt0343660,50 First Dates,2004,6.8,318838,505,99,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2004-02-13
tt0388795,Brokeback Mountain,2005,7.7,315187,2337,134,R,Romance; ,['Romance'],Romance,1,2006-01-13
tt1193138,Up in the Air,2009,7.4,312919,522,109,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2009-12-23
tt1306980,50_50,2011,7.6,310708,428,100,R,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2011-09-30
tt1748122,Moonrise Kingdom,2012,7.8,309368,438,94,PG-13,Comedy; Romance; ,"['Comedy', 'Romance']",Comedy,2,2012-06-29
